Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,1/1 Mil,Khapra,STANDARD,FAM,NFQ-MGB,23.77923393,23.45452499,0.247087866,5.7166E-05,5.7166E-05,,TRUE,0.204344363,TRUE,3,18,,N,N,N,N
A2,1/1 Mil,Khapra,STANDARD,FAM,NFQ-MGB,23.31207848,23.45452499,0.247087866,5.7166E-05,5.7166E-05,,TRUE,0.204344363,TRUE,3,18,,N,N,N,N
A3,1/1 Mil,Khapra,STANDARD,FAM,NFQ-MGB,23.9524498,23.45452499,0.247087866,5.7166E-05,5.7166E-05,,TRUE,0.204344363,TRUE,3,19,,N,N,N,N
A4,1/1 Mil,Khapra,STANDARD,FAM,NFQ-MGB,23.29478455,23.45452499,0.247087866,5.7166E-05,5.7166E-05,,TRUE,0.204344363,TRUE,3,18,,N,N,N,N
A5,1/1 Mil,Khapra,STANDARD,FAM,NFQ-MGB,23.37135887,23.45452499,0.247087866,5.7166E-05,5.7166E-05,,TRUE,0.204344363,TRUE,3,17,,N,N,N,N
A6,1/1 Mil,Khapra,STANDARD,FAM,NFQ-MGB,23.23148918,23.45452499,0.247087866,5.7166E-05,5.7166E-05,,TRUE,0.204344363,TRUE,3,17,,N,N,N,N
A7,1/1 Mil,Khapra,STANDARD,FAM,NFQ-MGB,23.38031197,23.45452499,0.247087866,5.7166E-05,5.7166E-05,,TRUE,0.204344363,TRUE,3,18,,N,N,N,N
A8,1/1 Mil,Khapra,STANDARD,FAM,NFQ-MGB,23.29157829,23.45452499,0.247087866,5.7166E-05,5.7166E-05,,TRUE,0.204344363,TRUE,3,18,,N,N,N,N
A9,1/1 Mil,Khapra,STANDARD,FAM,NFQ-MGB,23.47744942,23.45452499,0.247087866,5.7166E-05,5.7166E-05,,TRUE,0.204344363,TRUE,3,18,,N,N,N,N
B1,1/10 Mil,Khapra,STANDARD,FAM,NFQ-MGB,26.95560074,26.86003304,0.112397633,5.7166E-06,5.7166E-06,,TRUE,0.204344363,TRUE,3,21,,N,N,N,N
B10,1/10 Mil,Khapra,STANDARD,FAM,NFQ-MGB,26.8937645,26.86003304,0.112397633,5.7166E-06,5.7166E-06,,TRUE,0.204344363,TRUE,3,22,,N,N,N,N
B11,1/10 Mil,Khapra,STANDARD,FAM,NFQ-MGB,26.75538063,26.86003304,0.112397633,5.7166E-06,5.7166E-06,,TRUE,0.204344363,TRUE,3,22,,N,N,N,N
